symbol,timeframe,rsi_period,oversold,overbought,ema_filter,sl_pct,tp_pct,trades,wins,losses,win_rate,total_pnl,profit_factor
XAU,1h,7,10,85,True,0.015,0.03,11,7,4,63.64,13.831,3.1535
XAU,1h,7,10,90,True,0.015,0.03,11,7,4,63.64,13.831,3.1535
XAU,1h,2,25,85,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,2,10,80,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,2,10,85,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,2,15,85,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,2,20,85,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,2,25,80,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,2,30,90,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,2,10,90,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,3,25,85,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,3,25,90,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,2,15,80,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,2,15,90,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,3,30,85,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,2,20,90,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,3,30,90,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,2,20,80,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,2,30,85,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,2,25,90,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
XAU,1h,2,30,80,True,0.015,0.03,19,12,7,63.16,23.4793,3.0884
AVAX,5m,14,20,90,True,0.02,0.04,8,5,3,62.5,13.145,3.0816
XAU,15m,7,30,90,True,0.02,0.04,24,15,9,62.5,39.445,3.0814
XAU,1h,5,30,80,True,0.02,0.04,16,10,6,62.5,26.296,3.081
XAU,1h,5,20,70,True,0.02,0.04,16,10,6,62.5,26.294,3.0806
XAU,1h,5,15,75,True,0.02,0.04,16,10,6,62.5,26.296,3.0804
AVAX,5m,14,15,85,True,0.015,0.03,8,5,3,62.5,9.6588,3.0057
XAU,1h,5,15,90,True,0.015,0.03,16,10,6,62.5,19.2995,3.0025
XAU,1h,5,15,85,True,0.015,0.03,16,10,6,62.5,19.2995,3.0025
XAU,15m,5,30,90,True,0.03,0.06,18,11,7,61.11,43.0905,2.982
XAU,15m,5,30,85,True,0.03,0.06,18,11,7,61.11,43.0905,2.982
XAU,15m,14,20,75,True,0.02,0.04,13,8,5,61.54,20.619,2.9576
XAU,15m,14,25,75,True,0.02,0.04,13,8,5,61.54,20.619,2.9576
XAU,1h,3,25,80,True,0.015,0.03,21,13,8,61.9,24.768,2.9275
XAU,1h,3,30,80,True,0.015,0.03,21,13,8,61.9,24.768,2.9275
XAU,1h,3,30,75,True,0.015,0.03,21,13,8,61.9,24.768,2.9275
XAU,1h,3,25,75,True,0.015,0.03,21,13,8,61.9,24.768,2.9275
XAU,1h,3,30,90,True,0.02,0.04,18,11,7,61.11,28.081,2.9047
XAU,1h,3,30,85,True,0.02,0.04,18,11,7,61.11,28.081,2.9047
XAU,1h,5,30,75,True,0.02,0.04,18,11,7,61.11,28.081,2.9047
XAU,1h,3,20,70,True,0.02,0.04,18,11,7,61.11,28.083,2.9046
XAU,1h,3,15,70,True,0.02,0.04,18,11,7,61.11,28.083,2.9046
XAU,1h,3,10,70,True,0.02,0.04,18,11,7,61.11,28.083,2.9046
AVAX,5m,14,10,80,True,0.015,0.03,13,8,5,61.54,15.1288,2.8835
XAU,15m,7,25,90,True,0.02,0.04,23,14,9,60.87,35.549,2.8754
XAU,15m,3,15,85,True,0.03,0.06,20,12,8,60.0,45.88,2.8464
XAU,15m,3,30,75,True,0.03,0.06,20,12,8,60.0,45.88,2.8464
