symbol,timeframe,ema_fast,ema_slow,sl_pct,tp_pct,trades,wins,losses,win_rate,total_pnl,profit_factor,max_drawdown,sharpe,avg_win,avg_loss
AVAX,5m,13,100,0.02,0.04,230,64,166,0.2783,-1.00358,0.7129,1.05298,-3.5224,0.038946,-0.021061
SOL,1h,8,50,0.02,0.04,133,37,96,0.2782,-0.58094,0.7126,0.72716,-2.8386,0.038939,-0.021059
AVAX,15m,13,50,0.015,0.03,286,81,205,0.2832,-0.947897,0.7121,1.141362,-3.9959,0.028945,-0.016061
SOL,1h,8,34,0.015,0.03,205,58,147,0.2829,-0.682202,0.711,0.733752,-3.5614,0.028942,-0.01606
AVAX,15m,8,34,0.015,0.03,290,82,208,0.2828,-0.96713,0.7105,1.150917,-4.0507,0.028945,-0.016061
DOGE,1h,13,50,0.03,0.06,81,22,59,0.2716,-0.535785,0.7077,0.758825,-2.2527,0.058951,-0.031063
DOGE,1h,13,100,0.03,0.06,59,16,43,0.2712,-0.392375,0.7062,0.41703,-1.9339,0.058955,-0.031062
AVAX,1h,13,100,0.02,0.04,109,30,79,0.2752,-0.49547,0.7022,0.54274,-2.6826,0.038948,-0.021062
SOL,1h,13,100,0.015,0.03,182,51,131,0.2802,-0.627822,0.7016,0.64421,-3.4885,0.028943,-0.01606
SOL,1h,21,34,0.03,0.06,67,18,49,0.2687,-0.460975,0.6971,0.59085,-2.1387,0.058943,-0.03106
DOGE,1h,21,100,0.02,0.04,110,30,80,0.2727,-0.51656,0.6934,0.54594,-2.7921,0.038947,-0.021062
SOL,1h,13,21,0.02,0.04,147,40,107,0.2721,-0.69585,0.6912,0.73996,-3.2564,0.038939,-0.02106
SOL,1h,8,34,0.03,0.06,75,20,55,0.2667,-0.529485,0.6901,0.575675,-2.3273,0.058943,-0.031061
AVAX,15m,13,100,0.02,0.04,181,49,132,0.2707,-0.87164,0.6865,0.91571,-3.5126,0.038948,-0.021061
AVAX,15m,21,50,0.015,0.03,276,76,200,0.2754,-1.01235,0.6848,1.057935,-4.3818,0.028944,-0.016061
SOL,1h,13,100,0.02,0.04,115,31,84,0.2696,-0.56186,0.6824,0.64167,-2.9814,0.038942,-0.02106
SOL,1h,5,50,0.015,0.03,208,57,151,0.274,-0.775352,0.6803,0.917237,-4.058,0.028941,-0.01606
AVAX,15m,21,34,0.015,0.03,285,78,207,0.2737,-1.066867,0.6791,1.250655,-4.5529,0.028945,-0.016061
SOL,1h,5,100,0.02,0.04,123,33,90,0.2683,-0.61042,0.678,0.69659,-3.1367,0.038941,-0.021061
DOGE,1h,8,34,0.03,0.06,88,23,65,0.2614,-0.663085,0.6716,0.85508,-2.7077,0.058954,-0.031062
SOL,1h,8,100,0.02,0.04,124,33,91,0.2661,-0.63145,0.6705,0.72913,-3.24,0.038941,-0.02106
AVAX,1h,5,100,0.03,0.06,54,14,40,0.2593,-0.41712,0.6643,0.500775,-2.1801,0.058953,-0.031061
SOL,1h,5,100,0.015,0.03,201,54,147,0.2687,-0.797962,0.662,0.849482,-4.2748,0.028942,-0.01606
AVAX,15m,8,50,0.015,0.03,287,77,210,0.2683,-1.14398,0.6608,1.250625,-4.8954,0.028945,-0.016061
AVAX,1h,21,100,0.015,0.03,154,41,113,0.2662,-0.628262,0.6538,0.64115,-3.8559,0.028944,-0.016062
SOL,1h,21,100,0.015,0.03,173,45,128,0.2601,-0.753275,0.6336,0.77266,-4.3948,0.028944,-0.01606
