sweep,symbol,timeframe,sl_pct,rr,tp_pct,max_hold,trail_act,trail_dist,total_trades,wins,losses,win_rate,total_pnl,avg_win,avg_loss,profit_factor,max_dd,sharpe
TIME,XAU,15m,0.02,2.0,0.04,50.0,,,111,42,69,0.3783783783783784,-0.13547411220404668,0.010357295839622058,-0.008267833876350337,0.7625263206957262,0.19338739967482582,-1.5124637452013594
TIME,XAU,15m,0.02,2.0,0.04,100.0,,,69,30,39,0.43478260869565216,0.0407817499528515,0.015563758480398326,-0.010926436011771751,1.0957023767951761,0.10745803828166056,0.5465970557459753
TIME,AVAX,1h,0.02,2.0,0.04,5.0,,,76,22,54,0.2894736842105263,-0.4177398091730055,0.011824182360670997,-0.012553181872366067,0.38374808309579567,0.4290013819297058,-6.2508980727066445
TIME,AVAX,1h,0.02,2.0,0.04,10.0,,,69,21,48,0.30434782608695654,-0.3963874690927521,0.01564684582496348,-0.015103567321187186,0.45323696732352137,0.4319635270662227,-5.290589452156329
TIME,AVAX,1h,0.02,2.0,0.04,20.0,,,60,20,40,0.3333333333333333,-0.2106332954847769,0.028937336902075395,-0.019734500838157122,0.733166172769984,0.31641192070327884,-2.2997198029371586
TIME,AVAX,1h,0.02,2.0,0.04,50.0,,,54,17,37,0.3148148148148148,-0.14809277471835963,0.03712101325186115,-0.021058108108108087,0.809930341117423,0.21689999999999926,-1.5929933930754445
TIME,AVAX,1h,0.02,2.0,0.04,100.0,,,53,16,37,0.3018867924528302,-0.1560499999999974,0.03894500000000011,-0.021058648648648627,0.7997227819346259,0.21689999999999926,-1.6967797739592443
TIME,AVAX,15m,0.02,2.0,0.04,5.0,,,305,115,190,0.3770491803278688,-0.5063402631086719,0.00785632195186219,-0.00742009098722538,0.6408468901807843,0.5368127227583613,-2.50320154361482
TIME,AVAX,15m,0.02,2.0,0.04,10.0,,,261,107,154,0.4099616858237548,-0.29102588825473485,0.010332769498993307,-0.009069040419785838,0.7916231036926789,0.37882782756189004,-1.4125858983026567
TIME,AVAX,15m,0.02,2.0,0.04,20.0,,,207,93,114,0.4492753623188406,-0.3692522209526514,0.012016750024243036,-0.013042192747432051,0.7516480063984748,0.44852398925437825,-1.816102223067602
TIME,AVAX,15m,0.02,2.0,0.04,50.0,,,139,64,75,0.460431654676259,0.2833509008445278,0.0242090512077128,-0.01688037835265455,1.2238108608902274,0.15933637584984292,1.3932336278228394
TIME,AVAX,15m,0.02,2.0,0.04,100.0,,,110,53,57,0.4818181818181818,0.4904398531708098,0.031291718285834456,-0.020491600280323093,1.4198895075377402,0.254600344908493,2.559710290026445
TIME,DOGE,1h,0.02,2.0,0.04,5.0,,,84,37,47,0.44047619047619047,-0.06049592465193444,0.016076182825824733,-0.013942865727818075,0.9076841620548757,0.21782314788235616,-0.6163586544067267
TIME,DOGE,1h,0.02,2.0,0.04,10.0,,,78,32,46,0.41025641025641024,-0.2382808623682189,0.017656898884183793,-0.017463078840480446,0.7033731110961025,0.27593505381561906,-2.4336392174751995
TIME,DOGE,1h,0.02,2.0,0.04,20.0,,,70,26,44,0.37142857142857144,-0.20984109716842803,0.02549152203199364,-0.019832287954551428,0.7595277027206278,0.32424090035292297,-1.9867922198825252
